profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,connected_fb_page,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
True,False,1128,575,0.5093002657218778,322,False,False,False,False,3,False,43.76,98.0,11.0,18.26262120653367,333.5233333333333,0.9944628023734978,1.6,6.0,0.0,1.5275252316519468,2.3333333333333335,1.131087755950796,1491866.1666666667,7517421.0,5.0,1832699.9395404647,3358789068391.623,1.797422343631146,True
True,True,430,353,0.8190255220417634,3,False,False,True,False,3,False,31.666666666666668,35.0,29.0,3.0550504633038935,9.333333333333334,0.38180177416060473,5.333333333333333,16.0,0.0,9.237604307034013,85.33333333333334,0.7071067811865478,5472764.0,6023604.0,4921924.0,779005.3986975957,606849411200.0,0.0,True
True,True,418,534,1.2744630071599046,139,False,False,False,False,3,False,100.84,166.0,50.0,26.98252520922878,728.0566666666666,0.16880046763448323,10.12,23.0,0.0,7.131619731870173,50.86,0.32166051402378887,3611336.5416666665,10774210.0,164203.0,3163705.4708404825,10009032306225.998,1.065018789987454,True
True,True,1425,3118,2.1865357643758765,206,False,False,True,False,0,False,729.36,1414.0,209.0,426.42612490324746,181839.24,0.4084533328042497,13.92,42.0,1.0,11.146449359923245,124.24333333333333,0.6822471133808662,1338888.0833333333,4057835.0,233556.0,1025556.4068691399,1051765943670.3407,0.9391113615289906,True
True,True,953,288,0.3018867924528302,458,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
True,True,98,7273,73.46464646464646,85,False,False,True,False,4,False,,,,,,,,,,,,,,,,,,,True
True,True,579,1063,1.8327586206896551,167,True,False,False,False,0,False,,,,,,,,,,,,,,,,,,,True
True,True,1105,1510557,1365.7839059674502,20842,False,True,True,False,9,False,14806.48,35383.0,5051.0,8280.984442886807,68574703.34333333,1.2450141547832267,198.36,747.0,17.0,183.06735554616685,33513.65666666666,1.6856845050097986,20876.166666666668,67514.0,170.0,17101.446825816576,292459483.5362319,0.9820854398723731,True
True,True,14,89059,5937.266666666666,77,False,False,True,False,0,False,9565.84,18028.0,5529.0,3173.1818636819416,10069083.14,1.2652358628063742,39.04,132.0,15.0,26.008780568620796,676.4566666666667,2.202625312311176,1087525.75,3943014.0,54556.0,1085173.852854413,1177602290918.8914,1.176647208590657,True
True,True,484,538,1.109278350515464,217,False,False,False,False,38,False,46.6,130.0,11.0,28.91366458960192,836.0000000000001,1.5246446160771077,3.04,13.0,0.0,3.397057550292606,11.540000000000001,1.2732829330057067,447404.5833333333,2081263.0,15088.0,550156.9107776686,302672626476.42755,1.6202884710955798,True
