username,media_count,average_likes,is_private,real_account
_adriana.l,458,,True,True
epicoco_17,85,,False,True
benedettadegiorgi_,167,,True,True
erika_ris,206,,True,True
ambra.paparello,868,,False,True
alesvecchi,302,,True,True
bernardovillasboas,464,,False,True
bonogiada,147,,True,True
mariaantogis,29,,True,True
_jesuismeryame,196,,True,True
sebyn13,189,,False,True
sararachele_,169,,False,True
isabelagrutman,926,,False,True
andrealvino,277,,True,True
alessiodecembrini,37,,False,True
__vvanes,20,,True,True
efedez,203,,True,True
nicopiro11,383,,False,True
cipriani_couture,1899,,True,True
francesco_migliano,39,,True,True
glsensem,189,,False,True
vale_chestressilnomeutente,113,,True,True
retrograderoast,1409,,False,True
christian_de_simone,85,,True,True
_tank.s,181,,True,True
filippo_magazzini,15,,False,True
79pepita,330,,True,True
ginemalti,305,,False,True
giulianovozella,1059,,False,True
comesecharlie,51,,True,True
elisabetta_dambrogio_wp,2627,,False,True
lorenzoturchi_,42,,False,True
marta_soldaini,107,,True,True
___ariii___,115,,False,True
sabrina.tarabella,56,,True,True
heather__parisi,1596,,False,True
dcossyle,526,,False,True
flynnagin11,530,,False,True
stefanodepascalis80,6,,True,True
pieceofcake_lyon,347,,False,True
romephototour,220,,False,True
davealone,1016,,False,True
matteo.immorlano,153,,False,True
giuliafioredoro,68,,True,True
coti_,525,,True,True
iosonopipo,101,,False,True
zari.ghl,14,,True,True
flavia.palma,642,,True,True
daniele.darpa,402,,False,True
manusuaa,124,,True,True
martinabelluomini,521,,True,True
rubiochef,9002,,False,True
elenaamark,292,,True,True
lasolapossibilita,344,,False,True
luca.daff,242,,False,True
morenothreetime,302,,False,True
beatricefalchiii,250,,True,True
gabrielecastellana,27,,True,True
peppemoltogrunge,69,,False,True
jollymare,281,,False,True
batmarella,1713,,False,True
run530italia,1028,,False,True
nelli_nelli08,194,,False,True
la_micly,443,,False,True
rebecca_difazio,460,,False,True
irenemartinlove,2150,,False,True
ultimiribelli,189,,False,True
lydian_music_school_,24,,False,True
carla.graduata74,136,,True,True
nachodelbusto,238,,True,True
auroraalessandri,260,,True,True
daniele_caiola,13,,True,True
andymeetswarhol,3124,,False,True
viviana_tric,79,,True,True
bepa.welltracy,288,,True,True
morinoermano,57,,True,True
simofior3,39,,False,True
catiaarg,688,,True,True
loreguidu,77,,True,True
just_denisa,60,,True,True
charlie.thecreator,20,,False,True
stefano_massafra,66,,True,True
okiro,259,,False,True
simona.cartolina,340,,True,True
ciccio_8_one,40,,False,True
piabaroncini,762,,False,True
_albertoperrone_,121,,True,True
assol_klan,6,,False,True
desia_mass,95,,True,True
e_reicher,273,,False,True
francescacassinelli,305,,True,True
alicepetragli,10,,True,True
manumiccoli,42,,True,True
gretadip,286,,True,True
luisdealfonso,119,,True,True
giulia__izzo,571,,False,True
martina_frassanito,309,,True,True
lore_fil,84,,True,True
tina_mu_,495,,True,True
martigiordanz,20,,False,True
beacongg,929,,False,True
alexvvedenskiy,44,,False,True
beneditto,310,,True,True
evens.brecht,314,,False,True
crissuar7,46,,True,True
amanda.lear,105,,False,True
domenicouiovine,2416,,False,True
lauraaleonii,159,,True,True
_dielleid_,70,,True,True
sharondeluca_,838,,False,True
rachele_dell,656,,True,True
douglastonello,3156,,False,True
_paolomagri_,44,,True,True
grano_breads,359,,False,True
marra_irene,73,,True,True
elenikalorkoti,1109,,False,True
cristigarzella,515,,False,True
limprimerie,3606,,False,True
gianlucafoli,398,,False,True
giradesgo,317,,False,True
giuseppe__notarangelo,48,,True,True
henryscoffee_nl,211,,False,True
amiparis,3563,,False,True
deejay.warpath,192,,False,True
claudiaschittone,141,,True,True
martinapresta,1905,,False,True
luche_official,2313,,False,True
enrique_getan,32,,False,True
miriamcruciani,255,,True,True
principinovergine,485,,False,True
irenerosss,411,,True,True
jvn,2489,,False,True
lessi_lisa,235,,True,True
violaparri,98,,True,True
angelalcala97,394,,True,True
loremarrini,85,,False,True
anemaesore,17,,False,True
lillirubolino,281,,True,True
captainstoker,561,,False,True
mariasolesavoia,3,,True,True
saraacadau,62,,True,True
lucioluci,758,,False,True
nicholashoult,199,,False,True
sarafaulenzen,416,,True,True
giulio_gabbro,175,,False,True
knotsbakery,310,,False,True
luca_santoliquido,71,,True,True
daphnenonbenissimo,802,,True,True
bonack,240,,False,True
carloscemusic,210,,False,True
winterstone,556,,False,True
tonycorilli,15,,True,True
sara_mencagli,109,,True,True
vittoriasperto,91,,True,True
jaimeharrys,113,,True,True
docciandosi,474,,False,True
linda_barta,375,,True,True
mirkodemos,77,,True,True
freitag_italia,351,,True,True
velociraptorina,560,,True,True
niccoscorza,213,,True,True
teradaandre,361,,False,True
laurafami,409,,True,True
marika_ritoli,147,,True,True
maradavossa,163,,False,True
robertacaroccia,477,,False,True
guenda1306,168,,True,True
mari_grnch,179,,True,True
silviaventurinifendi,1131,,False,True
francescadeltorto,376,,True,True
catal.eva,11,,True,True
antoneeo_,93,,False,True
greta.nicco,20,,True,True
andrea__pagano,29,,False,True
rosanna.lepone1istruzione.it,581,,True,True
rosamariadellacorte,271,,True,True
sergiodelbusto,20,,True,True
itsviocatons,149,,True,True
prunelledespres,272,,True,True
pgongora8,93,,True,True
costgae,1015,,True,True
ellistrate,148,,False,True
perfumegenius,669,,False,True
claudia_vivona,956,,True,True
rosalbaliu,720,,False,True
edo_manca,34,,True,True
mansiilaria,83,,True,True
silvia.neva,259,,True,True
this_girl_is_a_squirrel,2171,,False,True
anna_borso,142,,True,True
simonabizzarri_,438,,True,True
fabiodipietrangelo,347,,True,True
maria_venere_,32,,True,True
albacalisti,1150,,True,True
_giulietta3,239,,False,True
sailor_phoebe,362,,True,True
mcbess,1601,,False,True
carmenmb99,98,,True,True
giuliapepo_,19,,True,True
annakristinajones,310,,False,True
martimarra9,377,,True,True
mcutoland,564,,False,True
scandinavianembassy,393,,False,True
valepaolini,147,,False,True
iamfrancescotaddeo,90,,True,True
chiara_ghelardini,174,,True,True
judeisnothere,44,,False,True
mattia_ramp,90,,False,True
centostronza,361,,False,True
dominique_df,150,,True,True
californiadreaming.official,561,,False,True
davberte,59,,True,True
vittoria_ian,294,,True,True
giulianacappello_,359,,True,True
nico_ko.ala,24,,True,True
lamor_roso,28,,False,True
marialidia_zt,111,,True,True
leti_95,103,,True,True
bydanirubio,750,,False,True
lesbenjamins,868,,False,True
francesco_fratacci21,15,,True,True
amico_gigi,446,,True,True
fra_licciardi,47,,True,True
eugeniousss,180,,False,True
imandreabaratti,191,,True,True
dario_otello,165,,False,True
lilimir_,51,,True,True
eglettaaa,282,,False,True
starbucksreserve_mil,269,,False,True
pierpaolosederino,19,,False,True
simo.r,54,,True,True
ceci_sani,64,,True,True
francesco__grande,155,,False,True
lucaradaa,149,,True,True
dariocassanmagnago,12,,True,True
elven_giulu,149,,True,True
mariannacordella,19,,True,True
sergiosomoano,138,,True,True
naemikrasniqi,69,,True,True
rollo3,117,,True,True
a.foglino,342,,False,True
f.ajello,177,,False,True
noita_s,4700,,False,True
_kovak_,55,,False,True
millantatrice,83,,False,True
francesco_ivone89,46,,True,True
gianmarco.onestini,391,,True,True
vi_salvadori,193,,True,True
marco_petrone_,221,,False,True
martaqtdm,108,,True,True
adelepelo,265,,True,True
holy.76,133,,True,True
danilomonte,139,,True,True
sara_macaluso09,20,,True,True
adam_peaty,770,,False,True
_itsmanuela,347,,True,True
sarahfuckingsnyder,147,,False,True
lacinelli,568,,True,True
simona_lavarra,275,,True,True
gholipour.maryam,525,,True,True
chimagazineit,1885,,False,True
marcofelicioni,65,,False,True
alca89,119,,True,True
ale.riggio,712,,True,True
alexwangny,832,,False,True
alessiafr_,801,,False,True
miriamgraci,298,,True,True
amanda_experience,326,,False,True
kcaj999,83,,False,True
palolooo__,50,,False,True
alerguezx2,268,,False,True
fernandoprats,1830,,False,True
jorgelopez_as,1332,,False,True
beasica,15,,True,True
gmez_ivan,30,,True,True
giuseppeporro.it,11012,,False,True
attaccapanni.press,280,,False,True
cesa_santo33,66,,False,True
giada_vergine,387,,True,True
angelicagallo_7,60,,True,True
page00010,1,,True,True
martiscalo,264,,True,True
attiliodemitri,216,,True,True
greta_varlese,915,,False,True
anto_cicla95,109,,True,True
the_gerschel,567,,False,True
ettore_petrucci93,99,,True,True
chiaraqtdm,201,,True,True
dimadim_a,14,,False,True
carlbrave23,314,,False,True
lorenzo_caroti,292,,False,True
laura_filippelli,358,,True,True
lorenzocaldarelli,213,,True,True
rockit.it,2109,,False,True
alessandracivitale,1176,,True,True
scratch_battipennadartista,136,,False,True
fatmamavintage,168,,False,True
francescauggenti,125,,True,True
trivisonnefrancesca,448,,True,True
sanfasomarzamemi,45,,False,True
marcoborriello,442,,False,True
chiaraghelardoni_,122,,True,True
andreasaccomani,984,,False,True
chiaracecc33,417,,True,True
animalmansf,4012,,False,True
_martinacasati_,439,,True,True
sonjabjorkgrant,698,,False,True
ariifusaa,136,,True,True
sonjabarghini,139,,True,True
busilacc,160,,False,True
agi_open,558,,False,True
pietro_marchini_,14,,True,True
almejeiter,269,,False,True
a_graphicz,118,,True,True
nicole_marinari11,618,,True,True
jessicaribeir0,253,,False,True
antoway,76,,True,True
lorella.bisecco,69,,True,True
xhovavx,421,,False,True
vezio_mugnaini,200,,True,True
xviirgi,200,,True,True
flavia.dv,120,,True,True
giorgia_fonta_,56,,True,True
sarina.46,478,,True,True
ciondolo_,206,,True,True
vosavittovia,752,,False,True
mariella.iaia,4,,True,True
moh.alhaifi,132,,False,True
mirco.baba,18,,True,True
jacopo_dipaolo,38,,True,True
ferdaniluca,21,,True,True
ale_pisto,142,,True,True
jomcgrath32,305,,True,True
georgettepol,5777,,False,True
giulianodottori,40,,False,True
hallofseries,353,,False,True
danieleparcheggio,15,,True,True
soltantochiara,868,,False,True
ilaria_massei,344,,True,True
gua_ncio,489,,False,True
umbriajazz_official,1016,,False,True
silvia__antonelli,1155,,True,True
laura.schito,45,,False,True
uniovicotilleos,3,,True,True
justlikeabirdonawire,374,,False,True
clement_gbk,409,,False,True
alipc98,189,,True,True
k.ezechiele,29,,False,True
pollypocket71,984,,True,True
xivkarats,869,,True,True
annaturinss,447,,True,True
cliomakeup_official,3002,,False,True
juanpra00,31,,True,True
alessiadrives,11,,True,True
adn.records,57,,False,True
dueuovaincamicia,777,,False,True
nutrizionista_nicola_savarese,492,,False,True
sleepinthegardn,4258,,False,True
saraksirp,92,,True,True
giuliacippii,249,,True,True
pau.por,297,,True,True
giulia.fiore__,236,,True,True
marialaurarampino,118,,True,True
manifatturatabacchifi,554,,False,True
tonyfutura,335,,False,True
javierescanciano,200,,True,True
chrismanny90,284,,False,True
angela.gallone,30,,True,True
elisa_meoni,491,,True,True
idaferraioli_,161,,True,True
guidomalloggi,176,,False,True
fededella,186,,True,True
workhardlivefit,4463,,False,True
michlazzari,90,,False,True
sylvain_vernay,1720,,False,True
lucas983,902,,False,True
alvaropeball,94,,True,True
mt88_cecia,15,,True,True
rebecca__bertelli,49,,True,True
alessiolapadula,510,,False,True
pieceofcakepoznan,302,,False,True
arsenyco,64,,False,True
bombercaso,63,,True,True
giadarecchia,128,,True,True
mrkimjones,5078,,False,True
flyingeyebooks,973,,False,True
kristianvanni,141,,False,True
justtpablito,12,,False,True
nicolem_27,102,,True,True
gambacorteam,60,,True,True
miikiibass,341,,False,True
sere13_10,277,,True,True
letizecla,15,,True,True
rovazzi,1211,,False,True
franciandrea,139,,False,True
thokamaer,646,,False,True
steve.nson,41,,False,True
alessia.p83,43,,True,True
jennicostii,226,,True,True
bthisway,737,,False,True
roscinipaolo,89,,True,True
serenafrolli,467,,False,True
d3v1s9,352,,True,True
raulcervera98,19,,True,True
blogciaotutti,3002,,False,True
nellygrace3,813,,True,True
arianna_negro,338,,False,True
giorgiamangione_,122,,False,True
chefdamianocarrara,1216,,False,True
mokaflorcoffee,197,,False,True
tom_almp,37,,True,True
kein,6281,,False,True
9andre6,4,,False,True
annarellacorradi_,1153,,False,True
jeneakaitazart,200,,False,True
blindfish1,404,,False,True
coeurclaire,877,,False,True
sick_heero,316,,False,True
lorefiore7,340,,False,True
sofiaroda_,43,,False,True
mrs_alicepsyco,407,,True,True
vanigliering,327,,True,True
robertaolivieri31,69,,True,True
murari.mattia,624,,False,True
a_sironi,385,,False,True
carmen_raho,63,,False,True
lorenzo_giuliano_,19,,True,True
tattooinkspiration,3031,,False,True
milovanfarronato,266,,False,True
marcopolani,1998,,False,True
juliaherrera11,185,,True,True
cristiano_marrese,85,,True,True
viola.come.me,25,,True,True
angelolsenmusic,659,,False,True
mimipondovereasy,1460,,False,True
rodrigogarciadelgadillo,324,,False,True
danielegianni,71,,True,True
federica_quarta,996,,True,True
claudia3195,395,,True,True
ale_gi_otti,51,,True,True
giorgio_srv,92,,True,True
nerorimmel,2150,,False,True
studiodumbar,131,,False,True
c__l__o,8944,,False,True
irepelo,369,,True,True
joyplums,18,,True,True
andreaglezchaves,227,,True,True
what_a_silly_man,1208,,True,True
maisonmargiela,1888,,False,True
azzurraconti_,53,,False,True
nadineleopold,2320,,False,True
loicgrz__,131,,False,True
andreacamiletto,66,,True,True
rossellamanisi,93,,True,True
francescogreek,423,,True,True
eli_moretti,252,,False,True
andreavignini,182,,True,True
rinaldirebecca_,241,,True,True
themilkmancoffee,216,,False,True
steve_scott__uk,302,,False,True
_antonio_capodieci_,12,,False,True
jaimeangel99,26,,False,True
antonino.scl,342,,False,True
llorente17,108,,True,True
coppola.chiara,547,,True,True
par5milano,4006,,False,True
_marcobennati,174,,False,True
gas_valenti,110,,True,True
tommaso.ariani,656,,False,True
giesencoffeeroasters,1704,,False,True
giuseppefesta7,158,,True,True
momo01_mimi08_,52,,True,True
nicolas_rossetti,128,,True,True
_rollline_,64,,True,True
carlosmundaka,96,,True,True
francescacosta22,480,,True,True
paolaiacopini,69,,True,True
nikolenti_10,121,,False,True
mc_creazioni,112,,False,True
francescaaa.cova,270,,True,True
wallupstudio,84,,False,True
filofilo___,11,,True,True
kc_dipaa,82,,True,True
mathieuburniat,71,,False,True
mattia_bugelli,140,,False,True
martacraveff,94,,True,True
khivju,327,,False,True
sca_uk,1022,,False,True
roberta119,88,,False,True
angeloduro,211,,False,True
puoi_sempre_cambiarlo,357,,False,True
theaoi,677,,False,True
claraballerani,96,,True,True
davideroveto,1271,,False,True
petrelliandrea,477,,True,True
angelzanza,86,,True,True
lafvradelsklavs,822,,False,True
pasqualeserao,141,,True,True
usbi93,28,,False,True
momy.bhm,34,,True,True
antoniomorphcarassi,241,,True,True
biri__meli,109,,True,True
indacopanificio,121,,False,True
inees_lc,20,,True,True
nadia_neide,102,,True,True
biancaareale,192,,True,True
radiana_pasquali_,207,,False,True
eleonoradellepoesie,67,,False,True
fededelcarlo,121,,True,True
_ludovicaingrosso_,13,,True,True
erikafioravanti,382,,True,True
war.and.peas,284,,False,True
cesi_barsa,58,,False,True
martaajimenez,15,,True,True
cannellafuffa,72,,False,True
francescomiluzz,6,,True,True
catcloudcoffee,309,,False,True
carloamatofitclub,98,,True,True
vicentusdixit,354,,True,True
tiffany_shop_online,7141,,False,True
_fabiolafedele_,69,,True,True
lorenzo.galletti,145,,True,True
leonardo_labruna,136,,True,True
arianna.pagliara,11,,True,True
alessia.delorenzo_,98,,True,True
consii,1711,,True,True
faustopuglisi,13805,,False,True
pauoti_,444,,True,True
lupoalbertoofficial,122,,False,True
ange_du_soleil,863,,True,True
sina0072,25,,True,True
simonemassoni,2156,,False,True
clemencygreen,67,,False,True
massimo.pelizzari,41,,True,True
maya__4,744,,True,True
thomasito10,229,,False,True
dabid_6,399,,True,True
sellilasella,12,,True,True
rebeccamock,628,,False,True
dantheball81,811,,False,True
prioregiulia,99,,True,True
ireneffe,708,,True,True
antonioo_semeraro,170,,False,True
elenazuff,36,,True,True
breadworksralph,1763,,False,True
whoisnate__,1250,,False,True
gianmarcocalamusa,35,,True,True
dennylahome,3,,False,True
stefanofortunato,46,,True,True
salvigenna,63,,False,True
qtkuting_,52,,True,True
aurorabarbera17,582,,True,True
citofonoicitofoni,248,,True,True
eleonor_calla,244,,False,True
virginia.landi,64,,True,True
fragrr,2077,,True,True
isabelcaputo04,185,,True,True
jonathanicher,126,,False,True
andreapellino0811,16,,True,True
veronicamassaa,554,,True,True
pietrociampi_,144,,True,True
antomaglie,532,,False,True
dile.dem,21,,True,True
etan_vee,2681,,False,True
xfett,518,,True,True
marco.moro1,151,,False,True
varelaaaaaa_,79,,True,True
michiguarguaglini,48,,True,True
raffi___,2234,,False,True
learnchinese_words,109,,False,True
vanessaraitz,202,,False,True
arigamba,209,,True,True
virginradioit,2610,,False,True
enricolinassi,479,,True,True
giulia_martignoni,50,,True,True
fabiana_ritorti,733,,True,True
pipolooo,33,,True,True
massimobisottilefrasipiubelle,1279,,False,True
diegojrcaroti,49,,True,True
rigels_turkeshi,206,,True,True
milkbarsoho,330,,False,True
eliana.maraglino,33,,True,True
gabriele_bevilacqua,66,,True,True
bicesare3,476,,False,True
marco_rbltn,468,,True,True
pirrott,122,,True,True
cinzia_di_micco,18,,True,True
greta.valenti,104,,True,True
botztzz,226,,True,True
freddysickness,23,,True,True
wolfishglow,376,,False,True
agolore,13,,True,True
soleridentecrochet,247,,False,True
circolomagnolia,1810,,False,True
cucca_ndo,282,,True,True
marco_poidomani,288,,False,True
amazonwatch,666,,False,True
catalanoguido,1160,,False,True
kevinbparry,247,,False,True
elenabagala98,626,,True,True
chiarabiasi,8483,,False,True
_giuliagallo,431,,False,True
auroraambrosio,130,,True,True
sergiomendi_,27,,True,True
samuele_bichisecchi,93,,False,True
alessiopericcioli,355,,False,True
eleonorabettii,312,,False,True
vitosportelli,140,,True,True
steelmagnolia6599,418,,False,True
sonmgb,419,,True,True
lucia3691,605,,True,True
juxtapozmag,9045,,False,True
nella_mn,454,,False,True
_aufheben,828,,False,True
gioiamazzon,382,,True,True
elenadilorenzo,148,,False,True
drpaolo.dds,284,,True,True
cibi_magazine,332,,False,True
gentile.assunta,55,,True,True
margherita.q,838,,False,True
anamarzo14,105,,True,True
luistu4,38,,True,True
errico.loredana,3,,True,True
giacomo_delo,122,,False,True
ireneintermesoli,314,,True,True
johnmartz,1348,,False,True
montsehdgz,22,,True,True
fabiomancini,511,,False,True
david_rp97,89,,True,True
giorgostsiantoulas,104,,False,True
lospecchificio_vintage,496,,False,True
kylestaywild,276,,False,True
elenainnocentii,21,,True,True
antmundo,21,,False,True
rayon.es,65,,False,True
nachiiiito,110,,True,True
karimgmassoud,920,,False,True
zommino,86,,True,True
pas_simone17,57,,True,True
eze.miche,289,,False,True
juanglezramos,279,,True,True
federico_pizzadili,196,,True,True
pabloardid8,203,,True,True
ihateroberta,146,,False,True
_rosegold_92,348,,True,True
fornaisamuel,28,,True,True
rickysecci,788,,True,True
giuseppefini11,493,,False,True
26jaavim,90,,False,True
claramusaro,66,,True,True
pablitaaa79,116,,False,True
antoinearnault,59,,False,True
giobuselli,80,,False,True
silvianna_gangemi,63,,True,True
cosimocrocamo,14,,False,True
cosimomorandini,148,,False,True
lolaufoclub,1103,,False,True
bennybenassi,1811,,False,True
marcosmussos,164,,False,True
angelicarizzo_,316,,False,True
elenoire_ferruzzi,2578,,False,True
iamsamueleleo,42,,True,True
candeemartin,134,,True,True
fentybeauty,4126,,False,True
martagianii,40,,True,True
_raffaele_tortora,23,,True,True
benedettarito,487,,True,True
elid_z,84,,True,True
marinadiamandis,1443,,False,True
miss_peaberry_,1155,,False,True
marcodac_,21,,True,True
elisabetta0504,913,,True,True
m_a_g_h_i_d_a,147,,True,True
sara__quaranta,775,,False,True
silviap23,478,,True,True
silvia_saladino,99,,False,True
analog_pulse,301,,True,True
andreavaza,476,,True,True
giacomo_px,728,,False,True
nopasana__,107,,True,True
matteo_simaku,259,,True,True
bababu87,528,,True,True
lavinannets,159,,True,True
topjaw,357,,False,True
alessandrasalamina,71,,True,True
5marco,155,,True,True
ilarialuschi,40,,True,True
basphi,107,,False,True
emiliano_fedeli,253,,True,True
vincentcassel,508,,False,True
gennaromarsiglia,325,,False,True
_peppeasaro_,103,,True,True
ruchikanambiar,102,,False,True
ceciantu,109,,True,True
lucfag72,40,,True,True
darkmemegang,1524,,False,True
mauricetheredcat,29,,False,True
zaccar002,5,,True,True
niigros,36,,True,True
matteo.mazzanti,8,,False,True
comfort.baker,396,,False,True
noto.andre,17,,True,True
matteo.capirola,69,,False,True
migueeh.sdf,863,,True,True
yerayalvarez_,23,,True,True
amemiche_,18,,True,True
luca.vetrone,181,,False,True
tannerareese,302,,False,True
daisyderio_,554,,True,True
rotativetattoo,150,,False,True
lucpepli,32,,True,True
elrana.jewelry,4193,,False,True
martinaddel,36,,True,True
carlottabraccini,228,,True,True
sceglidivivere,7464,,True,True
yuri.bazzano,48,,False,True
simbiosicoffee,50,,False,True
jhonnyjouster,15,,True,True
martinagra,246,,False,True
justvirals,2300,,False,True
curamagazine,314,,False,True
famiglia.innocente,178,,True,True
burnkim,39,,False,True
