profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
True,True,2321,747,0.3218440327445067,10,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,4247,611,0.14386625853543678,99,False,False,True,False,3,,,,,,,,,,,,,,,,,,,False
True,True,1764,1613,0.9143990929705216,64,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,68,65,0.9558823529411764,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,242,134,0.5537190082644629,80,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,6129,5669,0.9249469734051232,5,False,False,True,False,1,,,,,,,,,,,,,,,,,,,False
True,True,914,596,0.6520787746170679,14,False,False,True,False,1,,,,,,,,,,,,,,,,,,,False
True,True,1377,621,0.4509803921568628,17,False,False,False,False,2,,,,,,,,,,,,,,,,,,,False
True,True,3639,817,0.22451222863424014,60,False,False,False,False,14,,,,,,,,,,,,,,,,,,,False
False,False,51,33,0.6470588235294118,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,102,38,0.3725490196078432,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,442,199,0.4502262443438914,45,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,353,205,0.5807365439093485,7,False,False,False,False,1,,,,,,,,,,,,,,,,,,,False
True,True,6157,2247,0.36495046288777,960,False,False,True,False,0,,,,,,,,,,,,,,,,,,,False
True,True,19,26,1.368421052631579,6,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,6143,1268,0.20641380433013184,157,False,False,False,False,26,,,,,,,,,,,,,,,,,,,False
True,True,6721,1419,0.2111292962356792,1072,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,5133,1239,0.2413793103448276,26,False,False,True,False,0,,,,,,,,,,,,,,,,,,,False
True,False,58,75,1.293103448275862,42,False,False,True,False,0,,,,,,,,,,,,,,,,,,,False
False,True,2782,706,0.2537742631200575,7,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,2788,515,0.18472022955523676,110,False,False,True,False,3,,,,,,,,,,,,,,,,,,,False
True,True,7106,1308,0.18406980016887134,92,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,2080,1028,0.4942307692307693,86,False,False,True,False,4,,,,,,,,,,,,,,,,,,,False
True,False,1025,329,0.3209756097560976,3,False,False,False,True,0,,,,,,,,,,,,,,,,,,,False
True,True,596,322,0.540268456375839,133,False,False,True,False,2,,,,,,,,,,,,,,,,,,,False
True,False,2618,323,0.12337662337662338,0,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,146,61,0.4178082191780822,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,5305,842,0.1587181903864279,62,False,False,True,False,0,,,,,,,,,,,,,,,,,,,False
True,True,319,180,0.5642633228840125,16,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,350,115,0.32857142857142857,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,206,40,0.1941747572815534,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,4585,2845,0.6205016357688113,13,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,2408,513,0.21303986710963452,58,False,False,False,False,1,,,,,,,,,,,,,,,,,,,False
True,True,600,201,0.335,24,False,False,False,False,1,,,,,,,,,,,,,,,,,,,False
False,True,9,4,0.4444444444444444,0,False,False,False,True,0,,,,,,,,,,,,,,,,,,,False
True,True,477,222,0.4654088050314466,7,False,False,True,False,0,,,,,,,,,,,,,,,,,,,False
True,True,822,386,0.4695863746958637,60,False,False,False,False,2,,,,,,,,,,,,,,,,,,,False
True,False,1201,405,0.3372189841798501,16,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,984,830,0.8434959349593496,5,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,6808,1829,0.2686545240893067,50,False,False,True,False,1,,,,,,,,,,,,,,,,,,,False
True,False,68,56,0.8235294117647058,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,4410,3431,0.7780045351473923,9,False,False,True,False,0,,,,,,,,,,,,,,,,,,,False
True,False,2138,348,0.1627689429373246,43,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,2024,1251,0.6180830039525692,2,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,7445,720,0.09670920080591,37,False,False,False,False,6,,,,,,,,,,,,,,,,,,,False
False,False,940,390,0.4148936170212766,0,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,2006,336,0.1674975074775673,33,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,59,39,0.6610169491525424,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,387,1040,2.6873385012919897,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,429,279,0.6503496503496503,0,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,2507,1270,0.5065815715995213,31,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,556,120,0.2158273381294964,1,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,2110,499,0.23649289099526066,56,False,False,True,False,7,,,,,,,,,,,,,,,,,,,False
True,True,1420,497,0.35,55,False,False,False,False,1,,,,,,,,,,,,,,,,,,,False
True,False,13,29,2.230769230769231,1,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,False,125,47,0.376,29,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,1734,298,0.17185697808535175,2,True,False,False,False,0,,,,,,,,,,,,,,,,,,,False
True,True,319,435,1.3636363636363635,4,False,False,True,False,0,,,,,,,,,,,,,,,,,,,False
True,True,6638,2248,0.3386562217535402,4,False,False,False,False,0,,,,,,,,,,,,,,,,,,,False
