profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
True,False,1128,575,0.5097517730496454,322,False,False,False,False,3,43.76,98.0,11.0,18.26262120653367,333.5233333333333,0.9944628023734978,1.6,6.0,0.0,1.5275252316519468,2.3333333333333335,1.131087755950796,1491866.1666666667,7517421.0,5.0,1832699.9395404647,3358789068391.623,1.797422343631146,True
True,True,418,534,1.277511961722488,139,False,False,False,False,3,100.84,166.0,50.0,26.98252520922878,728.0566666666666,0.16880046763448323,10.12,23.0,0.0,7.131619731870173,50.86,0.32166051402378887,3611336.5416666665,10774210.0,164203.0,3163705.4708404825,10009032306225.998,1.065018789987454,True
True,True,1425,3118,2.1880701754385963,206,False,False,True,False,0,729.36,1414.0,209.0,426.42612490324746,181839.24,0.4084533328042497,13.92,42.0,1.0,11.146449359923245,124.24333333333333,0.6822471133808662,1338888.0833333333,4057835.0,233556.0,1025556.4068691399,1051765943670.3407,0.9391113615289906,True
True,True,953,288,0.30220356768100737,458,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,98,7273,74.21428571428571,85,False,False,True,False,4,,,,,,,,,,,,,,,,,,,True
True,True,579,1063,1.8359240069084628,167,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,1105,1510557,1367.0199095022624,20842,False,True,True,False,9,14806.48,35383.0,5051.0,8280.984442886807,68574703.34333333,1.2450141547832267,198.36,747.0,17.0,183.06735554616685,33513.65666666666,1.6856845050097986,20876.166666666668,67514.0,170.0,17101.446825816576,292459483.5362319,0.9820854398723731,True
True,True,14,89059,6361.357142857143,77,False,False,True,False,0,9565.84,18028.0,5529.0,3173.1818636819416,10069083.14,1.2652358628063742,39.04,132.0,15.0,26.008780568620796,676.4566666666667,2.202625312311176,1087525.75,3943014.0,54556.0,1085173.852854413,1177602290918.8914,1.176647208590657,True
True,True,484,538,1.1115702479338843,217,False,False,False,False,38,46.6,130.0,11.0,28.91366458960192,836.0000000000001,1.5246446160771077,3.04,13.0,0.0,3.397057550292606,11.540000000000001,1.2732829330057067,447404.5833333333,2081263.0,15088.0,550156.9107776686,302672626476.42755,1.6202884710955798,True
True,True,212,13172,62.132075471698116,22,False,False,False,False,1,743.8695652173913,2096.0,126.0,608.6958715414625,370510.66403162054,0.6849333473068182,46.391304347826086,596.0,0.0,121.7948122236123,14833.976284584978,4.245477429510957,10343890.681818182,107595314.0,81590.0,23052496.1905574,531417580615663.44,3.658709310781177,True
True,True,396,425,1.0732323232323233,230,False,False,False,False,1,76.32,159.0,44.0,23.916033673388792,571.9766666666667,1.666261038543742,3.28,47.0,0.0,9.235438989746688,85.29333333333334,4.492219061641468,2006796.625,13401498.0,686.0,3470202.7767124204,12042307311502.592,2.0392541043346637,True
True,True,281,2734,9.729537366548042,162,False,False,False,False,11,397.8,1030.0,72.0,288.1602563389569,83036.33333333334,0.7376303955744734,5.12,15.0,0.0,4.833218389437829,23.36,0.6369714300164546,757543.4166666666,2572734.0,153846.0,622924.5507309028,388034995903.2971,1.4555806470268875,True
True,True,2629,254269,96.71700266260936,8308,False,False,True,False,14,1244.72,5255.0,163.0,991.0602706192999,982200.46,2.7396796519604223,10.4,31.0,0.0,8.371578903249574,70.08333333333334,0.8971839494779493,33774.666666666664,86706.0,6798.0,23806.798670286105,566763662.9275362,0.6767041512731544,True
True,True,1591,12650515,7951.29792583281,7725,False,True,True,False,16,136368.08,403456.0,36536.0,86877.97438021906,7547782432.410001,1.7727869774480012,725.76,2165.0,102.0,532.3212751713011,283365.94,0.9118664364779708,54029.375,129548.0,23389.0,24639.127172239332,607086587.8097826,1.628886851704758,True
True,False,731,616,0.8426812585499316,206,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,False,304,316,1.0394736842105263,868,False,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,386,325,0.8419689119170984,12,False,False,True,False,1,37.833333333333336,64.0,15.0,14.726805080491419,216.87878787878788,0.24713141452774318,0.4166666666666667,2.0,0.0,0.7929614610987591,0.6287878787878788,1.4256129189022437,44037.90909090909,143716.0,564.0,48792.317613441046,2380690258.090909,0.8962801717545783,True
True,False,620,384,0.6193548387096774,302,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,265,137124,517.4490566037736,9041,False,False,True,False,2,1384.0,4049.0,370.0,1064.4170157101648,1132983.5833333333,1.1859771636274576,3.44,15.0,0.0,4.203966381089808,17.673333333333336,1.515046517130993,11557.458333333334,48386.0,5634.0,12000.586315311093,144014071.91123188,2.310047600190961,True
True,True,779,2386,3.0629011553273426,683,False,False,False,False,13,152.68,274.0,53.0,61.53164497503162,3786.1433333333334,0.054746160876995964,13.88,57.0,0.0,13.004230081015946,169.10999999999999,1.599171423905877,768081.9583333334,3083599.0,63615.0,678195.6929486073,459949397934.0416,1.6598768620905124,True
True,True,4577,1697,0.3707668778675989,629,False,False,False,False,9,41.8,67.0,26.0,11.718930554164631,137.33333333333334,0.8668681983185019,1.2,5.0,0.0,1.4719601443879744,2.1666666666666665,1.1680706055127423,309375.5416666667,849006.0,33635.0,234290.77398933133,54892166776.51993,0.9682940977787894,True
