profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
True,False,1128,575,0.5093,322,False,False,False,False,3,43.76,98,11,18.262621,333.523333,0.994463,1.6,6,0,1.527525,2.333333,1.131088,1491866.166667,7517421,5,1832699.93954,3358789068391.623,1.797422,True
True,True,430,353,0.819026,3,False,False,True,False,3,31.666667,35,29,3.05505,9.333333,0.381802,5.333333,16,0,9.237604,85.333333,0.707107,5472764,6023604,4921924,779005.398698,606849411200,0,False
True,True,418,534,1.274463,139,False,False,False,False,3,100.84,166,50,26.982525,728.056667,0.1688,10.12,23,0,7.13162,50.86,0.321661,3611336.541667,10774210,164203,3163705.47084,10009032306225.998,1.065019,True
True,True,1425,3118,2.186536,206,False,False,True,False,0,729.36,1414,209,426.426125,181839.24,0.408453,13.92,42,1,11.146449,124.243333,0.682247,1338888.083333,4057835,233556,1025556.406869,1051765943670.3407,0.939111,True
True,True,953,288,0.301887,458,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
True,True,98,7273,73.464646,85,False,False,True,False,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
True,True,579,1063,1.832759,167,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
True,True,1105,1510557,1365.783906,20842,False,True,True,False,9,14806.48,35383,5051,8280.984443,68574703.343333,1.245014,198.36,747,17,183.067356,33513.656667,1.685685,20876.166667,67514,170,17101.446826,292459483.536232,0.982085,True
True,True,14,89059,5937.266667,77,False,False,True,False,0,9565.84,18028,5529,3173.181864,10069083.14,1.265236,39.04,132,15,26.008781,676.456667,2.202625,1087525.75,3943014,54556,1085173.852854,1177602290918.8914,1.176647,True
True,True,484,538,1.109278,217,False,False,False,False,38,46.6,130,11,28.913665,836,1.524645,3.04,13,0,3.397058,11.54,1.273283,447404.583333,2081263,15088,550156.910778,302672626476.42755,1.620288,True
